blk_street,latitude,longitude,
101 HENDERSON CRES,1.2907844,103.8216714,
103 HENDERSON CRES,1.2898163,103.8215129,
140 JLN BT MERAH,1.2782374,103.8296416,
4 EVERTON PK,1.2769422,103.8400225,
7 KIM TIAN PL,1.2835884,103.8271056,
115 BT PURMEI RD,1.2754806,103.8269273,
48 TELOK BLANGAH DR,1.2723476,103.810532,
73 TELOK BLANGAH HTS,1.2757603,103.8092221,
72 TELOK BLANGAH HTS,1.276197,103.8095846,
66 TELOK BLANGAH DR,1.2741796,103.809717,
8 EMPRESS RD,1.3163339,103.8052796,
4 QUEEN'S RD,1.3191525,103.8083359,
6 FARRER RD,1.3173316,103.808029,
8 JLN KUKOH,1.2873774,103.8394012,
22 OUTRAM PK,1.2826619,103.8381955,
12 SHORT ST,1.3021123,103.850335,
13 SHORT ST,1.3021101,103.8503331,
8 SELEGIE RD,1.3030749,103.8505429,
538 UPP CROSS ST,1.285205,103.845761,
264 WATERLOO ST,1.299144,103.852039,
271 QUEEN ST,1.3010138,103.8537971,
664 BUFFALO RD,1.306197,103.8511947,
34 UPP CROSS ST,1.2861551,103.8422545,
640 ROWELL RD,1.3077589,103.8547424,
2 ROCHOR RD,1.302418,103.855276,
9 SELEGIE RD,1.3034202,103.8509279,
10 SELEGIE RD,1.3037148,103.8505656,
232 BAIN ST,1.296785,103.8533456,
663 BUFFALO RD,1.3056666,103.8508537,
662 BUFFALO RD,1.306123,103.8501014,
335B SMITH ST,1.2823787,103.8435143,
639 ROWELL RD,1.3077866,103.8551865,
632 VEERASAMY RD,1.3061145,103.854478,
633 VEERASAMY RD,1.3058366,103.8549056,
642 ROWELL RD,1.307542,103.856473,
1 TECK WHYE AVE,1.3825654,103.7517712,
4 TECK WHYE AVE,1.3818992,103.7528575,
10 TECK WHYE AVE,1.380253,103.7554147,
16 TECK WHYE LANE,1.3787335,103.7551205,
26 TECK WHYE LANE,1.3775575,103.7556637,
13 TECK WHYE LANE,1.3789492,103.7558447,
440 CLEMENTI AVE 3,1.316349,103.763902,
509 WEST COAST DR,1.3111674,103.7610046,
363 CLEMENTI AVE 2,1.3129068,103.7688615,
365 CLEMENTI AVE 2,1.3122881,103.7699671,
427 CLEMENTI AVE 3,1.3120117,103.7637884,
334 CLEMENTI AVE 2,1.31515,103.7686091,
329 CLEMENTI AVE 2,1.3131084,103.7672512,
323 CLEMENTI AVE 5,1.3158174,103.7670701,
322 CLEMENTI AVE 5,1.3161142,103.7663458,
326 CLEMENTI AVE 5,1.3143576,103.7663458,
314 CLEMENTI AVE 4,1.3195879,103.7676841,
313 CLEMENTI AVE 4,1.3195813,103.7676962,
312 CLEMENTI AVE 4,1.3196719,103.7644142,
354 CLEMENTI AVE 2,1.3135272,103.7708724,
435 CLEMENTI AVE 3,1.3145991,103.7624531,
433 CLEMENTI AVE 3,1.3140171,103.7618194,
506 WEST COAST DR,1.3125589,103.7608236,
508 WEST COAST DR,1.3116756,103.7617289,
401 CLEMENTI AVE 1,1.30693,103.768112,
320 CLEMENTI AVE 4,1.3170708,103.7654405,
310 CLEMENTI AVE 4,1.3201778,103.7661195,
309 CLEMENTI AVE 4,1.3209451,103.7663458,
307 CLEMENTI AVE 4,1.3214534,103.7670701,
305 CLEMENTI AVE 4,1.321972,103.7659837,
306 CLEMENTI AVE 4,1.3214601,103.7658932,
303 CLEMENTI AVE 4,1.3212466,103.7648068,
346 CLEMENTI AVE 5,1.3171185,103.7699671,
431 CLEMENTI AVE 3,1.313793,103.7626341,
339 CLEMENTI AVE 5,1.3195385,103.7691523,
515 WEST COAST RD,1.3083936,103.7597373,
520 WEST COAST RD,1.30715,103.7596467,
602 CLEMENTI WEST ST 1,1.3051374,103.7662553,
607 CLEMENTI WEST ST 1,1.3042508,103.7677943,
608 CLEMENTI WEST ST 1,1.304331,103.7665269,
702 WEST COAST RD,1.3072883,103.7610952,
703 WEST COAST RD,1.3067049,103.7607331,
704 WEST COAST RD,1.30634,103.760552,
711 CLEMENTI WEST ST 2,1.3050936,103.7610046,
705 CLEMENTI WEST ST 2,1.3057551,103.7604615,
